CodeName,Order,q_id,content,choice_a,choice_b,content_en,choice_a_en,choice_b_en
*-*-*-*-*,*-*-*-00136,B26-00136,연애와 일을 대하는 나의 태도는?,냉정한 커리어맨,불타는 사랑꾼,Approach to love vs work?,Cold professional,Passionate lover
*-*-*-*-*,*-*-*-00137,B26-00137,직장 생활 속 소소하고 확실한 행복은?,점심 메뉴 결정권,매일 맛있는 구내식당,"Small, sure source of happiness at work?",Lunch menu control,Great cafeteria food
*-*-*-*-*,*-*-*-00138,B26-00138,직장 생활이 나에게 주는 가장 큰 보상은?,칼퇴 후 자유,입금된 월급,Biggest reward from working?,Freedom after work,Paycheck
*-*-*-*-*,*-*-*-00139,B26-00139,"연봉 3배를 주는 대신 하나를 포기해야 한다면, 뭘 포기할 수 있을까?",워라밸 반납,인간관계 반납,"If I had to give up one thing for a triple salary, what could I give up?",No work-life balance,No relationships
*-*-*-*-*,*-*-*-00140,B26-00140,"중요한 발표 전, 마인드컨트롤 방법은?",인생은 코미디다,나는 스티브 잡스다,Mind control before a big presentation?,Life's a comedy,I'm Steve Jobs
*-*-*-*-*,*-*-*-00141,B26-00141,가족끼리 주말 나들이 갈 때 선호하는 방식은?,분 단위 계획표,무계획 즉흥 여행,Weekend family trip style?,By-the-minute plan,"Spontaneous, no plan"
*-*-*-*-*,*-*-*-00142,B26-00142,부모님 패션 지적할 때 더 효과적인 말은?,연예인 같아요!,사진 잘 나와요!,More effective when commenting on parents' fashion?,You look like a celeb!,Great for photos!
*-*-*-*-*,*-*-*-00143,B26-00143,이상형이 MBTI를 물어볼 때 나의 대답은?,중요한 건 궁합!,천생연분 우기기,"Ideal type asks for your MBTI, your reply?",Compatibility matters!,Fated connection!
*-*-*-*-*,*-*-*-00144,B26-00144,가족끼리 서운한 일이 생겼을 때 대처법은?,바로 푼다,참는다,How to handle family disagreements?,Resolve immediately,Hold it in
*-*-*-*-*,*-*-*-00145,B26-00145,나의 성장을 돕는 가족의 태도는?,매운맛 조언,무한 칭찬,Family's attitude that helps your growth?,Spicy advice,Endless praise
*-*-*-*-*,*-*-*-00146,B26-00146,행복한 가족을 위해 필요한 능력은?,보살급 인내심,개떡 찰떡 번역기,Necessary skill for a happy family?,Buddha-level patience,Awkward to perfect translator
*-*-*-*-*,*-*-*-00147,B26-00147,가족에게 들었을 때 가장 기분 좋은 말은?,역시 네가 최고야,미안했어,Best thing to hear from family?,You're the best,I was wrong
*-*-*-*-*,*-*-*-00148,B26-00148,친구가 무리한 부탁을 해올 때 나의 반응은?,단칼 거절,조건부 수락,Friend asks for a huge favor?,Hard no,Conditional yes
*-*-*-*-*,*-*-*-00149,B26-00149,부모님을 설득해야 할 때 나의 전략은?,PPT 발표 모드,감성 호소 모드,Strategy when persuading parents?,PPT presentation,Emotional appeal
*-*-*-*-*,*-*-*-00150,B26-00150,가족에게 가장 바라는 점은?,따뜻한 배려,무한한 신뢰,Biggest wish for your family?,Warm consideration,Unwavering trust
*-*-*-*-*,*-*-*-00151,B26-00151,내가 선호하는 상담의 기술은?,뼈 때리는 팩폭,따뜻한 힐링,Counseling style: harsh truth or comfort?,Tough love,Warm hug
*-*-*-*-*,*-*-*-00152,B26-00152,주말에 에너지를 충전하는 나만의 방식은?,집콕 휴식,외출 만남,Weekend recharge: how?,Homebody mode,Social butterfly
*-*-*-*-*,*-*-*-00153,B26-00153,중요한 선택을 해야 할 때 나의 기준은?,고통 속 성장,안전한 유지,Big choices: what matters most?,Pain = growth,Safe & steady
*-*-*-*-*,*-*-*-00154,B26-00154,만족스러운 인생을 위한 나의 좌우명은?,욜로(YOLO),존버(JohnBur),Life motto for happiness?,YOLO,HODL
*-*-*-*-*,*-*-*-00155,B26-00155,솔로가 휴가를 즐기는 최고의 방법은?,집순이 모드,파티 피플 모드,Best solo vacation vibe?,Staying in,Party time
*-*-*-*-*,*-*-*-00156,B26-00156,공공장소에서 만난 최악의 소음 빌런은?,쩝쩝 소리,알람 소리,Worst public noise offender?,Loud chewing,Alarm sounds
*-*-*-*-*,*-*-*-00157,B26-00157,삶의 만족도를 결정하는 핵심 요소는?,자아실현,인간관계,Key to a fulfilling life?,Self-actualization,Relationships
*-*-*-*-*,*-*-*-00158,B26-00158,인생의 기로에 섰을 때 나의 선택은?,가시밭길 도전,꽃길 유지,Life crossroads: which path?,Thorny challenge,Easy street
*-*-*-*-*,*-*-*-00159,B26-00159,인맥을 관리하는 나만의 노하우는?,SNS 좋아요,오프라인 만남,Networking: how to connect?,SNS likes,In-person meetups
*-*-*-*-*,*-*-*-00160,B26-00160,뜻밖의 행운이 찾아왔을 때 나의 반응은?,오예 땡큐!,의심부터 함,Unexpected good luck: react how?,"Yes, please!",Skeptical first
*-*-*-*-*,*-*-*-00161,B26-00161,다시 태어난다면 어떤 인생을 살고 싶은가?,가난한 사랑꾼,외로운 부자,"If reborn, what kind of life would you want?",Poor & in love,Rich & lonely
*-*-*-*-*,*-*-*-00162,B26-00162,친구가 고민 상담을 해올 때 나는?,현실 팩폭,감성 위로,Friend's venting: what's your style?,Reality check,Emotional support
*-*-*-*-*,*-*-*-00163,B26-00163,예측불허의 상황이 닥치면 나는?,준비 철저,일단 돌격,Unforeseen situation: your move?,Over-prepare,Dive right in
*-*-*-*-*,*-*-*-00164,B26-00164,받았을 때 더 당황스러운 선물은?,내 취향 아님,버리기 힘든 쓰레기,Most awkward gift to receive?,Not my taste,Hard-to-discard junk
*-*-*-*-*,*-*-*-00165,B26-00165,사람들에게 어떤 이미지로 남고 싶은가?,유능한 사람,재밌는 사람,What kind of image do you want to leave on people?,Competent,Fun
*-*-*-*-*,*-*-*-00166,B26-00166,식당에서 겪은 최악의 경험은?,사진 사기,맛 사기,Worst restaurant experience ever?,Photo deception,Flavor letdown
*-*-*-*-*,*-*-*-00167,B26-00167,새로운 체험을 할 때 나의 스타일은?,무작정 따라가기,처음 리스트 짜기,New experience style?,Go with the flow,Initial checklist
*-*-*-*-*,*-*-*-00168,B26-00168,나를 성장시키는 더 큰 힘은?,실패의 쓴맛,성공의 단맛,What motivates you more?,Failure's sting,Success's sweetness
*-*-*-*-*,*-*-*-00169,B26-00169,SNS 칭찬 댓글 달렸을 때 나의 리액션은?,즉시 하트,은근 즐기기,SNS compliment reaction?,Instant heart,Secret enjoyment
*-*-*-*-*,*-*-*-00170,B26-00170,더 선호하는 고민 상담 스타일은?,팩폭 조언,공감 힐링,Counseling style preference?,Tough love,Empathetic comfort
*-*-*-*-*,*-*-*-00171,B26-00171,지난 1년의 성과를 증명하는 것은?,SNS 핫플 정복,통장 잔고 정복,Proof of the past year's success?,Hot spot conquest,Bank balance win
*-*-*-*-*,*-*-*-00172,B26-00172,행복을 위해 딱 하나만 골라야 한다면?,돈 많은 노잼,돈 적은 꿀잼,If you had to choose only one thing for happiness?,Rich & boring,Poor & fun
*-*-*-*-*,*-*-*-00173,B26-00173,나에게 더 완벽한 휴식과 힐링 방식은?,와인 반신욕,수다 파티,Perfect rest & relaxation?,Wine bath,Chat party
*-*-*-*-*,*-*-*-00174,B26-00174,답이 없는 난제에 부딪혔을 때 나는?,검색왕,잠만보,Faced with an impossible problem?,Search master,Sleep it off
*-*-*-*-*,*-*-*-00175,B26-00175,정반대 성향인 사람과 끌리는 포인트는?,웃음 코드,호기심 자극,Attracted to opposites by?,Humor,Intrigue
*-*-*-*-*,*-*-*-00176,B26-00176,잠들기 전 꼭 해야 하는 루틴은?,폰질,명상,Pre-sleep must-do?,Phone scrolling,Meditation
*-*-*-*-*,*-*-*-00177,B26-00177,친구가 고민을 털어놓을 때 나의 역할은?,해결사 빙의,리액션 봇,Friend's venting - your role?,Problem solver,Reaction machine
*-*-*-*-*,*-*-*-00178,B26-00178,돈에 대한 나의 솔직한 철학은?,쓰는 맛,모으는 맛,Your money philosophy?,Enjoy spending,Love saving
*-*-*-*-*,*-*-*-00179,B26-00179,우리 가족의 행복을 위한 조건은?,다 같이 으쌰으쌰,각자 알아서 잘,Family happiness needs?,Teamwork,Independence
*-*-*-*-*,*-*-*-00180,B26-00180,내가 지향하는 인간관계 스타일은?,소수 정예,넓은 인맥,Relationship style?,Close circle,Large network
*-*-*-*-*,*-*-*-00181,B26-00181,"결정적인 순간, 내가 믿는 것은?",선배 조언,내 직감,Critical moment: what do I trust?,Mentor advice,Gut feeling
*-*-*-*-*,*-*-*-00182,B26-00182,가족에게 들으면 섭섭하고 싫은 말은?,너 예민해,그럴 줄 알았다,Which family comment stings more?,You're too sensitive,I knew it
*-*-*-*-*,*-*-*-00183,B26-00183,지우개로 싹 지우고 싶은 과거는?,자아 상실 시기,사랑 호구 시기,Erase from your past with an eraser?,Lost self era,Love doormat era
*-*-*-*-*,*-*-*-00184,B26-00184,엄마가 세상에서 제일 든든해 보일 때는?,아플 때 죽 배달,대신 화내줄 때,When does Mom seem most reliable?,Sick day delivery,Fights your battles
*-*-*-*-*,*-*-*-00185,B26-00185,딸이 있어서 정말 든든하다고 느낄 때는?,센스 있는 선물,조용한 위로,When does having a daughter feel great?,Thoughtful gifts,Quiet support
*-*-*-*-*,*-*-*-00186,B26-00186,가족이라서 참 좋다고 느낄 때는?,편안한 침묵,빠른 해결사,When are you happiest to have family?,Comfy silence,Quick fixer
*-*-*-*-*,*-*-*-00187,B26-00187,자녀가 유튜버를 하겠다고 한다면 어떨 것 같아?,투잡 권유,전폭 지원,"If your kid wants to be a YouTuber, then?",Suggest a side hustle,Full support
*-*-*-*-*,*-*-*-00188,B26-00188,인생 마지막 날 자녀에게 듣고 싶은 말은?,감사합니다,존경합니다,What do you want to hear from your kid on your last day?,Thank you,I respect you
*-*-*-*-*,*-*-*-00189,B26-00189,여동생이 있어서 참 든든할 때는?,침착한 일 처리,내 편 들어줌,When is it great having a younger sister?,Calm under pressure,Takes my side
*-*-*-*-*,*-*-*-00190,B26-00190,같이 대화하기 더 힘든 수다 빌런은?,나도나도충,호구조사충,Who's harder to chat with?,"""Me too!"" person",Asks too many Qs
*-*-*-*-*,*-*-*-00191,B26-00191,친구에게 해주는 조언 중 진짜는?,아픈 진실,착한 거짓,Which friend advice is the truest?,Painful truth,Kind lie
*-*-*-*-*,*-*-*-00192,B26-00192,내가 생각하는 더 최악의 이별은?,마음 남음,관계만 남음,Worse breakup?,Lingering feelings,Just the connection
*-*-*-*-*,*-*-*-00193,B26-00193,짝사랑 성공 확률을 1%라도 올리려면?,논문급 분석,타이밍 예술,To raise the chance of unrequited love by even 1%?,Detailed analysis,Perfect timing
*-*-*-*-*,*-*-*-00194,B26-00194,싸운 뒤 화해의 정석이라 생각하는 것은?,격렬한 포옹,진심 담은 편지,Best way to make up after a fight?,Big hug,Sincere letter
*-*-*-*-*,*-*-*-00195,B26-00195,싸우고 나서 날 더 민망하게 만드는 것은?,배달음식 도착,예약 알림 띵동,What makes me more embarrassed after a fight?,Food delivery arrives,Reservation reminder
*-*-*-*-*,*-*-*-00196,B26-00196,친구의 단점을 대하는 나의 태도는?,침묵하며 기다림,솔직하게 지적,How do I react to a friend's flaws?,Silent patience,Honest feedback
*-*-*-*-*,*-*-*-00197,B26-00197,평생 같이 갈 친구의 취향은?,진지한 바보,웃긴 불행러,My forever friend's vibe?,Earnest goofball,Funny disaster
*-*-*-*-*,*-*-*-00198,B26-00198,친구들과 약속 잡을 때 나의 스타일은?,코리안 타임,미리 가서 대기,My style for meeting up with friends?,Korean time,Arrive early
*-*-*-*-*,*-*-*-00199,B26-00199,"소개팅 상대, 더 참기 힘든 식성은?",극소식,푸드파이터,Worse dating app date eating habit?,Eats nothing,Competitive eater
*-*-*-*-*,*-*-*-00200,B26-00200,"연애 중 집착, 차라리 뭐가 더 나을까?",상대가 집착,내가 집착,"In a relationship, which kind of clinginess is better?",The stalkee,The stalker
*-*-*-*-*,*-*-*-00201,B26-00201,짝사랑 상대를 공략하는 나의 전략은?,은근히 맴돌기,대놓고 플러팅,My strategy to win over my crush?,Subtle orbiting,Aggressive flirting
*-*-*-*-*,*-*-*-00202,B26-00202,우정을 지키기 위해 더 필요한 것은?,불편해도 솔직,선의의 거짓,More important to maintain a friendship?,Brutal honesty,White lies
*-*-*-*-*,*-*-*-00203,B26-00203,데이트가 취소됐을 때 솔직한 심정은?,환호성,허무함,My honest reaction when a date is cancelled?,Relief,Disappointment
*-*-*-*-*,*-*-*-00204,B26-00204,내가 더 선호하는 교우 관계는?,인싸 마당발,찐친 소수,Friendship style?,Popular networker,Small close circle
*-*-*-*-*,*-*-*-00205,B26-00205,"돈 빌려간 친구, 더 꼴 보기 싫은 행동은?",단체방서 활발,SNS서 우울,"Friend who borrowed money, more annoying behavior?",Chatty in group chat,Depressing on socials
*-*-*-*-*,*-*-*-00206,B26-00206,썸 탈 때 나를 더 피곤하게 하는 것은?,답장 타이밍 고민,읽씹 후 인스타 업로드,More exhausting when things are getting flirty?,Reply timing anxiety,"Read/ignored, then Insta update"
*-*-*-*-*,*-*-*-00207,B26-00207,친구가 피드백을 원할 때 나는?,진지하게 참견,가볍게 위로,"When a friend wants feedback, I'm more likely to?",Serious advice,Light comfort
*-*-*-*-*,*-*-*-00208,B26-00208,친구가 바람을 피운다면 나의 대처는?,투명한 솔직함,편안한 믿음,"If a friend is cheating, I'll be?",Transparently honest,Comfortingly faithful
*-*-*-*-*,*-*-*-00209,B26-00209,새로운 사람을 만나는 즐거움은 어디에 있는?,깊은 대화,즐거운 경험,Where does the joy of meeting new people lie?,Deep talks,Fun experiences
*-*-*-*-*,*-*-*-00210,B26-00210,주말 근무를 해야 한다면 어디서 하는?,카페 카공족,침대 일체형,"If you have to work on the weekend, where do you do it?",Cafe study session,Bed setup
*-*-*-*-*,*-*-*-00211,B26-00211,함께 일하고 싶은 동료 스타일은?,농땡이꾼,투명인간 취급,Dream coworker style?,Slacker,Get ignored
*-*-*-*-*,*-*-*-00212,B26-00212,AI 시대 리더에게 필요한 자질은?,기술 혁신,윤리 준수,Key leadership trait in the AI era?,Tech innovation,Ethical standards
*-*-*-*-*,*-*-*-00213,B26-00213,회사에서 내가 되고 싶은 캐릭터는?,만능 인싸,조용한 실력자,Office persona?,Social butterfly,Quiet achiever
*-*-*-*-*,*-*-*-00214,B26-00214,내가 직장을 다니는 가장 큰 이유는?,소속감,월급,Main reason for working?,Belonging,Paycheck
*-*-*-*-*,*-*-*-00215,B26-00215,"퇴근 후 연락, 어디까지 괜찮은?",긴급 회의 링크,잡담 톡,"After-work contact, how much is acceptable?",Emergency meeting link,Casual chat
*-*-*-*-*,*-*-*-00216,B26-00216,퇴근 후 오는 연락 중 최악은?,회의 소집,심심풀이 톡,Worst after-work contact?,Meeting invite,Bored chat
*-*-*-*-*,*-*-*-00217,B26-00217,회식 자리 꼴불견 1위는?,아픈 척 연기,자기 자랑 만취,Top pet peeve at company dinners?,Faking sick,Drunk bragging
*-*-*-*-*,*-*-*-00218,B26-00218,성격 안 맞는 동료와 지내는 법은?,사무적 관계,마인드 컨트롤,How to deal with clashing coworkers?,Professional only,Mind control
*-*-*-*-*,*-*-*-00219,B26-00219,퇴근 후 완벽한 차단을 위해 나는?,폰 두고 오기,전원 끄기,Perfect after-work disconnect?,Leave phone behind,Power it off
*-*-*-*-*,*-*-*-00220,B26-00220,직장에서 더 중요하게 생각하는 가치는?,압도적 성과,끈끈한 동료애,More important value at work?,Crushing results,Team bonding
*-*-*-*-*,*-*-*-00221,B26-00221,친구가 위로가 필요할 때 나는?,객관적 분석,무지성 공감,"Friend needs comfort, I...",Offer analysis,Blind support
*-*-*-*-*,*-*-*-00222,B26-00222,갑자기 1억이 생긴다면 어디에 쓸?,빚 청산 & 장비빨,재테크 & 창업,"Suddenly got $100K, what would you spend it on?",Debt & gear,Invest & start up
*-*-*-*-*,*-*-*-00223,B26-00223,짝사랑을 끝내는 나만의 방법은?,지르고 후회,참고 친구,My way to end a crush?,Confess & regret,"Suffer, be friends"
*-*-*-*-*,*-*-*-00224,B26-00224,아들이 있어서 든든할 때는?,내 편 들어줄 때,짐 들어줄 때,Glad I have a son when...,He takes my side,He carries stuff
*-*-*-*-*,*-*-*-00225,B26-00225,누나가 있어서 든든할 때는?,사회생활 코치,용돈 투척,Glad I have an older sister when...,Career advice,Cash injection
*-*-*-*-*,*-*-*-00226,B26-00226,남동생이 든든하게 느껴질 때는?,누가 괴롭힐 때 방어,부모님 일 해결,Feel most supported by your younger sibling when?,Defense from bullies,Handle parents' issues
*-*-*-*-*,*-*-*-00227,B26-00227,지친 퇴근 후 나의 모습은?,기절,씻고 잠,Your vibe after a tiring day?,Instant knockout,Shower then sleep
*-*-*-*-*,*-*-*-00228,B26-00228,"배달 음식 vs 외식, 나의 선택은?",지금 당장 배달,주말 맛집 탐방,Delivery or dining out?,Delivery now,Weekend restaurant
*-*-*-*-*,*-*-*-00229,B26-00229,연인 사이 솔직함의 정도는?,선의의 거짓말,솔직한 상처,Honesty in a relationship: how much?,White lies,Brutal truth
*-*-*-*-*,*-*-*-00230,B26-00230,"소개팅 상대, 더 참기 힘든 태도는?",폰 집중,멍 때리기,Worse first date habit?,Phone glued to hand,Zoning out
*-*-*-*-*,*-*-*-00231,B26-00231,연애 상대를 볼 때 더 선호하는 점은?,사생활 존중,세심한 관심,More important in a partner?,Privacy,Attention to detail
*-*-*-*-*,*-*-*-00232,B26-00232,내가 추구하는 연애 스타일은?,안정적,짜릿함,Relationship style?,Stable,Exciting
*-*-*-*-*,*-*-*-00233,B26-00233,늦잠 자서 지각 위기! 나는?,쌩얼로 질주,택시 타고 화장,Running late because you overslept!?,Sprint bare-faced,Taxi makeup
*-*-*-*-*,*-*-*-00234,B26-00234,애인에게 듣고 싶은 조언 스타일은?,팩폭,위로,Relationship advice style?,Tough love,Comfort
*-*-*-*-*,*-*-*-00235,B26-00235,싸움이 났을 때 해결하는 방식은?,당장 끝장 토론,하루 냉전 생각,Conflict resolution style?,Immediate debate,Cool off period
*-*-*-*-*,*-*-*-00236,B26-00236,연애을 위한 초능력 하나는?,독심술,개그 본능,One superpower for romance?,Mind reading,Comedy genius
*-*-*-*-*,*-*-*-00237,B26-00237,애인에게 듣고 싶은 말은?,달콤한 칭찬,쓴소리 조언,What do you want to hear from a partner?,Sweet compliments,Harsh advice
*-*-*-*-*,*-*-*-00238,B26-00238,이성에게 보이고 싶은 나의 이미지는?,귀염둥이,섹시 다이너마이트,Ideal image to project?,Cute,Sexy
*-*-*-*-*,*-*-*-00239,B26-00239,싸우고 난 뒤 나를 더 힘들게 하는 건?,나만 화남,찜찜함,What bothers me more after a fight?,Only I'm upset,Lingering tension
*-*-*-*-*,*-*-*-00240,B26-00240,연인 간 갈등의 주된 원인은?,집착과 간섭,무관심,Main cause of relationship conflict?,Clinginess,Lack of interest
*-*-*-*-*,*-*-*-00241,B26-00241,연인과 함께하고 싶은 감성적인 순간은?,지친 날 침묵,비 오는 날 음악,Perfect romantic moment with your partner?,Quiet on a tired day,Music on a rainy day
*-*-*-*-*,*-*-*-00242,B26-00242,힘든 한 주를 보낸 나를 위한 선물은?,드라마 정주행,폭풍 쇼핑,Gift for myself after a tough week?,Binge-watch a show,Shopping spree
*-*-*-*-*,*-*-*-00243,B26-00243,내가 들었을 때 최악의 반응은?,너 예민해?,나도 힘들어,Worst response to hear?,Are you sensitive?,I'm struggling too
*-*-*-*-*,*-*-*-00244,B26-00244,평화를 지키기 위한 나만의 전략은?,배고프면 대화 금지,무조건 니 말이 맞아,What's your personal strategy for keeping the peace?,No talk when hungry,You're always right
*-*-*-*-*,*-*-*-00245,B26-00245,우리의 애정을 확인하는 척도는?,텔레파시 통함,대화로 위로,How do we know we're in love?,Telepathic connection,Comfort through talk
*-*-*-*-*,*-*-*-00246,B26-00246,완벽한 스킨십 타이밍은?,자연스럽게,분위기 잡고,What's the perfect timing for a physical touch?,Naturally,Set the mood
*-*-*-*-*,*-*-*-00247,B26-00247,지금 연인에게 가장 원하는 것은?,진한 스킨십,깊은 대화,What do you want most from your partner right now?,Intense physical touch,Deep conversation
*-*-*-*-*,*-*-*-00248,B26-00248,나의 치명적인 매력 포인트는?,그윽한 눈빛,달콤한 속삭임,Your most killer charming point?,"Deep, soulful eyes",Sweet whispers
*-*-*-*-*,*-*-*-00249,B26-00249,바람직한 부모의 자세는?,자식에게 배운다,돈이 최고다,What's a good parent like?,Learning from their kids,Money is everything
*-*-*-*-*,*-*-*-00250,B26-00250,친오빠가 든든하게 느껴질 때는?,힘들 때 먼저 연락,무거운 일 해결,When do you feel like your older brother is reliable?,Contacts me when I'm down,Handles the heavy stuff
*-*-*-*-*,*-*-*-00251,B26-00251,아빠가 세상에서 제일 든든할 때는?,내가 해결할게,믿는다 한마디,When does your dad feel most supportive?,I'll take care of it,Just 'I believe in you'
*-*-*-*-*,*-*-*-00252,B26-00252,숙취에 시달릴 때 나의 모습은?,해장국 힐링,폰 뒤지며 이불킥,You with a hangover?,Hangover soup healing,Cringe-scrolling in bed
*-*-B-Ar-L3,B-Ar-L3-00253,B26-00253,나에게 있어 더 생리현상 대참사인 것은?,생각보다 큰 방귀소리,생각보다 큰 트림소리,Which bodily function is more mortifying?,Loud fart,Loud burp
*-*-B-Ar-L3,B-Ar-L3-00254,B26-00254,술자리 안주거리 주제로 더 끌리는 쪽은?,술자리 안주거리,공감 100% 현실 썰,More engaging topic for drinking snacks?,Drinking snacks,Relatable real stories
*-*-B-Ar-L3,B-Ar-L3-00255,B26-00255,더 지우고 싶은 흑역사는?,짝사랑 앞 큰 트림,교실에서 큰 방귀,Which embarrassing memory would you erase?,Loud burp in front of crush,Loud fart in class
*-*-Fa-Br-L3,Fa-Br-L3-00256,B26-00256,"어릴 적 흑역사, 뭐가 더 강렬한데?",레전드급 변기 막힘,이불에 오줌지도 그림,Childhood cringe moment: which is more intense?,Epic toilet overflow,Peeing the bed
*-*-Fa-Br-L3,Fa-Br-L3-00257,B26-00257,"가족에게 놀림당할 때, 내 반응은?",서로의 실수 놀리기,물귀신 작전,"When family teases me, what's my reaction?",Tease each other's mistakes,Misery loves company
*-*-Fa-Br-L3,Fa-Br-L3-00258,B26-00258,"여행 중, 더 아찔한 상황은?",고속도로 한복판 급똥 신호,길에서 지갑 잃어버림,"Traveling, more horrifying situation?",Sudden urge on the highway,Losing your wallet
*-*-Lo-Sw-L3,Lo-Sw-L3-00259,B26-00259,"애인 앞에서, 더 숨고 싶은 순간은?",연인과 스스럼 없어지기,냄새로 존재감 어필,"Hiding from your partner, which moment?",Getting too comfortable,Making a smelly entrance
*-*-Lo-Sw-L3,Lo-Sw-L3-00260,B26-00260,데이트 중 신호 포착! 내 선택은?,포커페이스로 핑계대며 이동,솔직하게 표현하고 이동,Sensing a signal on a date! My choice?,"Poker face, make an excuse",Be honest and move
*-*-Lo-Sw-L3,Lo-Sw-L3-00261,B26-00261,"애인의 실수, 더 센스 있는 대처는?",서로의 긴장 풀어주기,먼저 웃어주기,"Partner's mistake, better reaction?",Ease the tension,Laugh first
*-*-Lo-Sw-L2,Lo-Sw-L2-00262,B26-00262,"연인 모닝콜, 뭐가 더 설레는 건?",어쩌다 한번씩 모닝콜,매일 정기적 모닝콜,"Partner's wake-up call, which is more exciting?",Occasional call,Daily routine
*-*-Lo-Sw-L2,Lo-Sw-L2-00263,B26-00263,"데이트 약속 확인, 더 편한 쪽은?",데이트 약속 확인 전화,변경될 때만 연락,"Confirming a date, which is easier?",Confirmation call,Only if changing
*-*-Fa-Fs-L3,Fa-Fs-L3-00264,B26-00264,잠 깨울 때 더 효과적인 방법은?,부모님이 자녀 깨워주기,단호한 이불 뺏기,Best way to wake someone up?,Parents wake kids,Blanket yank
*-*-Fa-Fs-L3,Fa-Fs-L3-00265,B26-00265,"깨워줘'라는 말, 더 가까운 뜻은?",자녀의 모닝콜 부탁,일어날 때까지 무한 확인,'Wake me up' really means?,Kids asking for a call,Constant check-ins
*-*-B-Sc-L2,B-Sc-L2-00266,B26-00266,"시험 날 모닝콜, 더 끌리는 방식은?",시험 날 같이 일어나기,약속한 시간 동시 콜,Morning call on test day: which do you prefer?,Wake up together,Simultaneous calls
*-*-B-Sc-L2,B-Sc-L2-00267,B26-00267,친구 챙겨줄 때 내 스타일은?,지각 방지 모닝콜 약속,내가 알아서 먼저,"When taking care of a friend, my style?",Promise a wake-up call,I'll just do it
*-*-Lo-Sw-L2,Lo-Sw-L2-00268,B26-00268,"연인 모닝콜, 뭐가 더 설레는 건?",연인의 다정한 아침 인사,함께 하루 시작,"Partner's wake-up call, which is more exciting?",Sweet morning message,Start the day together
*-*-Lo-Sw-L2,Lo-Sw-L2-00269,B26-00269,"데이트 약속 확인, 더 편한 쪽은?",데이트 약속 확인 전화,변경될 때만 연락,"Confirming a date, which is easier?",Confirmation call,Only if changing
*-*-Fa-Fs-L3,Fa-Fs-L3-00270,B26-00270,잠 깨울 때 더 효과적인 방법은?,부모님이 자녀 깨워주기,단호한 이불 뺏기,Best way to wake someone up?,Parents wake kids,Blanket yank
*-*-Fa-Fs-L3,Fa-Fs-L3-00271,B26-00271,나의 '깨워줘'라는 말뜻에 더 가까운 쪽은?,자녀의 모닝콜 부탁,일어날 때까지 무한 확인,What's closer to what I mean by 'Wake me up'?,Kid's wake-up call,Endless check-ins
*-*-B-Sc-L2,B-Sc-L2-00272,B26-00272,"시험 날 모닝알람, 더 끌리는 방식은?",5분간격으로 알람,시끄러운 알람 사운드,"Morning alarm on test day, which way to go?",Snooze every 5,Loud alarm sound
*-*-B-Sc-L2,B-Sc-L2-00273,B26-00273,"친구가 모닝콜을 부탁한다면, 내 스타일은?",부탁받은 모닝콜만 하기,집요하게 모닝 대화하기,"If a friend asks for a wake-up call, my style?",Just the call,Persistent morning chat
*-*-B-Sc-L2,B-Sc-L2-00274,B26-00274,맛집 고를 때 내 스타일은?,동네 맛집 탐방,나만 아는 동네 맛집,My style when choosing a great restaurant?,Neighborhood gems,Secret local spots
*-*-B-Sc-L2,B-Sc-L2-00275,B26-00275,스트레스 받을 때 뭐가 더 당기는?,스트레스 해소용 먹방,달달한 디저트,What do I crave more when stressed?,Stress-eating binge,Sweet dessert
*-*-B-Sc-L2,B-Sc-L2-00276,B26-00276,"오늘 점심, 내 스타일은?",점심 메뉴 고르기,새로운 맛집 도전,"Lunch today, my style?",Pick a menu,New restaurant challenge
*-*-Fa-Fs-L3,Fa-Fs-L3-00277,B26-00277,"가족 외식, 뭐가 더 중요할까?",주말 가족 외식,내가 가고픈 SNS 핫플,"Family dinner, what's more important?",Weekend family dinner,Trendy spot I want
*-*-Fa-Fs-L3,Fa-Fs-L3-00278,B26-00278,내 소울푸드 집밥은?,엄마가 해준 집밥,생일날 특별식,My soul food at home?,Mom's cooking,Birthday special meal
*-*-Fa-Fs-L3,Fa-Fs-L3-00279,B26-00279,"내 생일파티, 더 좋은 곳은?",생일 기념 식사,배달음식 홈파티,"My birthday party, better where?",Birthday dinner,Delivery food at home
*-*-Lo-Sw-L2,Lo-Sw-L2-00280,B26-00280,"데이트 맛집, 뭐가 더 중요한데?",맛집 데이트 코스,맛 보장된 찐 맛집,"Date restaurant, what matters more?",Perfect date course,Guaranteed deliciousness
*-*-Lo-Sw-L2,Lo-Sw-L2-00281,B26-00281,"우리 기념일, 더 끌리는 곳은?",기념일 저녁 식사,추억 가득한 단골집,"Our anniversary, where to?",Anniversary dinner,Cherished regular spot
*-*-Lo-Sw-L2,Lo-Sw-L2-00282,B26-00282,나의 ‘최애 음식’ 스타일은?,서로의 최애 음식 공유,나만 아는 꿀조합,My 'favorite food' style?,Share favorites,Secret combo
*-*-B-Ar-L3,B-Ar-L3-00283,B26-00283,코 파다 걸렸을 때 내 반응은?,술자리 흑역사 배틀,필사적 모른 척,My reaction if caught picking my nose?,Awkward story battle,Desperate denial
